Date,Opening,High,Low,Close,Volume
43535,0.22,0.23,0.21,0.23,0
43532,0.21,0.22,0.21,0.22,0
43531,0.23,0.23,0.22,0.22,0
43530,0.22,0.24,0.21,0.23,0
43529,0.21,0.22,0.2,0.22,0
43528,0.26,0.26,0.2,0.21,0
43525,0.23,0.26,0.23,0.25,0
43524,0.23,0.23,0.22,0.22,0
43523,0.24,0.24,0.24,0.24,0
43522,0.23,0.24,0.23,0.24,0
43521,0.24,0.24,0.23,0.23,0
43518,0.23,0.24,0.23,0.23,0
43517,0.23,0.24,0.23,0.23,0
43516,0.2,0.23,0.2,0.23,0
43515,0.19,0.2,0.19,0.2,0
43514,0.18,0.19,0.18,0.19,0
43511,0.15,0.19,0.15,0.19,0
43510,0.17,0.17,0.16,0.16,0
43509,0.17,0.17,0.16,0.17,0
43508,0.16,0.16,0.16,0.16,0
43507,0.15,0.16,0.15,0.15,0
43504,0.16,0.16,0.14,0.15,0
43503,0.19,0.19,0.16,0.16,0
43502,0.21,0.21,0.2,0.2,0
43501,0.18,0.21,0.18,0.21,0
43500,0.21,0.21,0.17,0.18,0
43497,0.23,0.23,0.21,0.21,0
43496,0.25,0.26,0.22,0.23,0
43495,0.26,0.26,0.24,0.25,0
43494,0.27,0.27,0.26,0.26,0
43493,0.28,0.28,0.26,0.27,0
43490,0.28,0.3,0.28,0.28,0
43489,0.26,0.28,0.26,0.26,0
43488,0.26,0.28,0.26,0.27,0
43487,0.28,0.28,0.26,0.26,0
43486,0.29,0.29,0.28,0.29,0
43483,0.28,0.31,0.28,0.31,0
43482,0.28,0.28,0.26,0.27,0
43481,0.33,0.33,0.29,0.29,0
43480,0.34,0.34,0.31,0.32,0
43479,0.32,0.33,0.32,0.33,0
43476,0.34,0.34,0.31,0.33,0
43475,0.27,0.34,0.27,0.34,0
43474,0.28,0.29,0.27,0.28,0
43473,0.24,0.27,0.24,0.27,0
43472,0.26,0.26,0.23,0.25,0
43469,0.25,0.26,0.23,0.26,0
43468,0.25,0.26,0.24,0.24,0
43467,0.26,0.28,0.24,0.27,0
43462,0.27,0.28,0.27,0.28,0
43461,0.29,0.31,0.26,0.27,0
43455,0.29,0.3,0.28,0.28,0
43454,0.3,0.3,0.28,0.28,0
43453,0.31,0.33,0.29,0.29,0
43452,0.3,0.32,0.3,0.32,0
43451,0.32,0.32,0.29,0.3,0
43448,0.31,0.32,0.3,0.32,0
43447,0.32,0.34,0.31,0.33,0
43446,0.3,0.32,0.29,0.31,0
43445,0.26,0.29,0.26,0.29,0
