Date,Opening,High,Low,Close,Volume
43535,11497.98,11550.59,11462.9,11543.48,82978418
43532,11429.77,11475.55,11405.21,11457.84,89570063
43531,11546.42,11612.95,11452.86,11517.8,111742098
43530,11593.21,11652.77,11565.22,11587.63,71931410
43529,11570.97,11627.78,11551.45,11620.74,70056291
43528,11646.21,11650.44,11591.74,11592.66,65183946
43525,11584.24,11676.86,11583.08,11601.68,81832458
43524,11430.8,11524.99,11416.08,11515.64,94547004
43523,11493.81,11521.22,11442.97,11487.33,95685805
43522,11446.29,11556.87,11441.87,11540.79,77997952
43521,11517.76,11544.31,11480.49,11505.39,72605663
43518,11422.62,11504.71,11420.74,11457.7,71665880
43517,11448.65,11454.44,11392.27,11423.28,85443644
43516,11338.74,11437.47,11318.74,11401.97,76562966
43515,11280.73,11371.44,11244.52,11309.21,73609070
43514,11287.74,11318.19,11256.27,11299.2,60098767
43511,11044.8,11323.05,11018.95,11299.8,119792088
43510,11257.8,11260.55,11077.78,11089.79,96719706
43509,11174.85,11217.3,11125.59,11167.22,76007026
43508,11123.43,11164.38,11116.86,11126.08,77725157
43507,10955.83,11041.95,10944.58,11014.59,75197105
43504,10991.79,11045.41,10863.56,10906.78,100351030
43503,11262.97,11286.46,11022.02,11022.02,112010029
43502,11337.54,11347.94,11297.42,11324.72,80155357
43501,11178.75,11371.74,11177.7,11367.98,94274973
43500,11180.42,11209.31,11100.34,11176.58,72294482
43497,11198.46,11218.51,11116.08,11180.66,102592977
43496,11257.92,11311.37,11051.11,11173.1,127986581
43495,11210.68,11215.21,11132.38,11181.66,72936306
43494,11191.52,11276.28,11159.17,11218.83,80003889
43493,11233.16,11275.21,11196.42,11210.31,80607000
43490,11234.05,11321.62,11218.35,11281.79,106796087
43489,11045.64,11149.32,11032.53,11130.18,119518005
43488,11043.64,11135.75,11007.21,11071.54,95508988
43487,11076.98,11142.22,11034.55,11090.11,79047274
43486,11176.12,11179.91,11125.53,11136.2,71184473
43483,11001.31,11216.82,10993.83,11205.54,130665882
43482,10852.5,10929.3,10822.25,10918.62,88051103
43481,10940.36,10947.87,10866.39,10931.24,92816534
43480,10962.95,10994.83,10812.59,10891.79,88779791
43479,10820.85,10886.23,10786.75,10855.91,70397133
43476,10949.13,10959,10829.92,10887.46,83567545
43475,10843.89,10927.13,10788.05,10921.59,82690066
43474,10884.75,10961.92,10839.09,10893.32,103679041
43473,10750.19,10910.71,10745.03,10803.98,101972860
43472,10814.39,10814.47,10681.27,10747.81,78677298
43469,10533.94,10786.34,10483.9,10767.69,104718810
43468,10467.11,10538.66,10400.11,10416.66,93134602
43467,10477.77,10612.72,10386.97,10580.19,87221130
43462,10452.02,10586.8,10431.38,10558.96,59748811
43461,10607.42,10635.45,10279.2,10381.51,113585312
43455,10573.08,10654.66,10512.64,10633.82,230176944
43454,10621.18,10686.37,10563.44,10611.1,136512706
43453,10777.42,10831.44,10749.55,10766.21,103956626
43452,10744.28,10841.42,10714.97,10740.89,109689777
43451,10852.99,10886.8,10700.62,10772.2,94059004
43448,10809.58,10903.39,10733.75,10865.77,92435334
43447,10978.68,10988.77,10887.26,10924.7,97906308
43446,10832.04,10971.12,10815.51,10929.43,122893504
43445,10711.4,10884.62,10684.62,10780.51,110295953
43444,10726.17,10757.73,10585.77,10622.07,129767250
43441,10876.34,10927.37,10788.09,10788.09,108477920
43440,11053.58,11063.44,10762.41,10810.98,141602848
43439,11204.32,11266.28,11177.15,11200.24,78388078
43438,11429.82,11442.19,11330.44,11335.32,90172374
43437,11534.75,11566.97,11457.61,11465.46,107979183
43434,11311.66,11315.3,11208.6,11257.24,130923416
43433,11377.21,11403.72,11275.7,11298.23,98056882
43432,11355.8,11358.8,11279.46,11298.88,78370459
43431,11380.79,11400.05,11264.65,11309.11,81163017
43430,11315.9,11390.93,11301.82,11354.72,96730383
43427,11146.55,11205.99,11093.52,11192.69,66658878
43426,11216.29,11221.77,11119.04,11138.49,69103305
43425,11138.25,11257.83,11113.34,11244.17,96666432
43424,11157.65,11187.16,11009.25,11066.41,125357900
43423,11384,11419.55,11231.59,11244.54,82347127
43420,11425.8,11448.56,11233.21,11341,121693097
43419,11447.84,11500.66,11254.92,11353.67,104828108
43418,11394.75,11566.79,11314.6,11412.53,111481271
43417,11374.11,11495.69,11349.94,11472.22,104984338
43416,11591.59,11598.51,11310.72,11325.44,100211058
43413,11489.19,11549.06,11418.35,11529.16,111994645
43412,11629,11648.79,11503.36,11527.32,93594306
43411,11542.09,11634.81,11532.34,11579.1,91008899
43410,11518.17,11528.52,11436.53,11484.34,91817577
43409,11522.33,11555.97,11479.19,11494.96,71454226
43406,11636.37,11689.96,11518.87,11518.99,114378080
43405,11419.61,11575.43,11416.36,11468.54,102476278
43404,11417.09,11499.38,11391.64,11447.51,119533445
43403,11391.78,11394.37,11212.58,11287.39,105055530
43402,11270.67,11444.86,11218.92,11335.48,103814493
43399,11180.96,11205.83,11051.04,11200.62,126120189
43398,11098.68,11324.92,11078.37,11307.12,126481212
43397,11298.65,11391.94,11166.84,11191.63,127469418
43396,11367.57,11394.21,11228.5,11274.28,123671525
43395,11665.68,11677.45,11497.09,11524.34,78774036
43392,11578.85,11617.28,11498.69,11553.83,140371764
43391,11695.19,11791.22,11586.32,11589.21,104006315
43389,11637.62,11790.15,11606.97,11776.55,91902779
43388,11523.81,11625.02,11459.08,11614.16,77320986
